County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,NAAT positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total NAATs - last 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,NAAT positivity rate - absolute change (may be an underestimate due to delayed reporting),Total NAATs - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,NAAT positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total NAATs - previous 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 5-11,People initiating vaccination as % of population - last 7 days - ages 5-11,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 5-11,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 5-11,People with at least 1 dose as % of population - ages 5-11,People who are fully vaccinated - ages 5-11,People who are fully vaccinated as % of population - ages 5-11,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.036,30162,300,486,4.8,-0.42,0.18,0.036,52046,518,413,4.1,2760550,27498,29749,296,0,15,SustainedHotspot,,High,High,0.031,829021,8258,,,-0.017,0.47,,,0.049,565451,5632,,,1438,7.9,0.8,0.11,0.78,0.2,-0.3,0,-0.04,-0.03,-0.06,91,18095,2113,0.95,0.95,0.98,0.95,7989779,0.796,7104236,0.708,6572,0.008,21751,0.003,2301,0.003,19450,0.002,2063,0.001,-0.0021,-0.0006,-0.0007,-0.0006,-0.0004,320718,0.382,251245,0.299,7666243,0.889,6851958,0.795,633248,0.873,570258,0.787,7032995,0.891,6281700,0.796,1331823,0.942,1199661,0.849,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.768,0.489
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.014,11799,263,205,4.6,-0.54,-0.41,0.018,25768,574,347,7.7,1235746,27550,15424,344,0,12,SustainedHotspot,,High,High,0.156,78094,1741,1,0.99,-0.076,-0.36,0,0,0.232,122558,2732,1,0.99,1283,12.7,0.79,0.12,0.75,0.18,-0.2,0,-0.04,0,-0.06,42,10078,1155,1,1,1,1,2947744,0.657,2504336,0.558,2336,0.006,8146,0.002,1166,0.003,6980,0.002,742,0.001,-0.0026,-0.0005,-0.0009,-0.0004,-0.0003,105092,0.256,67561,0.164,2842368,0.748,2436744,0.642,214763,0.588,178235,0.488,2627605,0.765,2258509,0.658,664824,0.95,580897,0.834,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.635,0.22
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,9,3338330,1,0.084,0.01,4,91421,0.027,0.014,11636,349,99,3,-0.22,0.02,0.01,15003,449,97,2.9,776192,23251,4931,148,0,15,SustainedHotspot,,High,High,0.094,108363,3246,,,-0.019,-0.02,,,0.113,110216,3302,,,492,8.3,0.77,0.13,0.8,0.22,-0.27,0,-0.04,-0.02,-0.05,20,5915,645,1,1,1,1,3445745,0.95,2286483,0.685,3336,0.012,17743,0.006,1862,0.008,15881,0.006,2219,0.005,-0.0064,-0.0046,-0.0066,-0.0044,-0.0034,142634,0.512,92472,0.332,3301954,0.95,2193743,0.768,243462,0.95,168117,0.722,3058492,0.95,2025626,0.772,649239,0.95,406761,0.84,0.09,0.13,0.15,2.9,0.05,0.34,0,0.12,0.56,0.277
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.009,7577,161,127,2.7,-0.42,-0.06,0.009,13019,276,135,2.9,983339,20863,10522,223,0,21,SustainedHotspot,,High,High,0.085,99289,2107,0,0.96,-0.053,-0.16,0,-0.01,0.138,118050,2505,0,0.97,838,7.5,0.89,0.11,0.93,0.18,-0.33,0.01,-0.03,0,-0.04,51,11201,1304,0.9,0.86,0.94,0.9,3452691,0.733,2938827,0.624,2141,0.004,6862,0.002,872,0.002,5990,0.002,491,0.001,-0.0008,-0.0002,-0.0004,-0.0002,0,131951,0.271,94041,0.193,3320087,0.856,2844569,0.734,298703,0.728,249261,0.607,3021384,0.871,2595308,0.748,509964,0.95,455042,0.885,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.724,0.557
"Jefferson County, KY",21111,Large central metro,"Louisville/Jefferson County, KY-IN",Metropolitan,KY,4,766757,0.606,0.172,0.002,1,22271,0.029,0.009,7144,932,36,4.7,0.52,1.4,0.003,4688,611,15,2,216162,28192,1993,260,0,14,SustainedHotspot,,High,High,0.138,16574,2162,1,0.98,-0.075,-0.17,0,0.03,0.213,20035,2613,1,0.96,756,29.3,0.83,0.14,0.89,0.2,-0.17,0,-0.04,-0.02,-0.04,7,2577,330,0.86,0.86,1,0.86,565262,0.737,481863,0.628,328,0.005,1183,0.002,139,0.002,1044,0.002,94,0.001,0.0006,0.0002,0.0003,0.0002,0.0001,21900,0.337,17271,0.266,543149,0.83,464577,0.71,36398,0.651,31607,0.565,506751,0.847,432970,0.724,125354,0.95,109887,0.86,0.06,0.15,0.17,2.4,0.22,0.06,0,0.03,0.568,0.355
"Riverside County, CA",6065,Large central metro,"Riverside-San Bernardino-Ontario, CA",Metropolitan,CA,9,2470546,0.531,0.063,0.007,2,33576,0.014,0.008,6780,274,153,6.2,-0.44,0.82,0.008,12207,494,84,3.4,607861,24604,6064,245,0,14,SustainedHotspot,,High,High,0.105,65952,2670,,,-0.04,-0.02,,,0.146,67098,2716,,,282,8.3,0.81,0.14,0.79,0.23,-0.34,0.01,-0.05,-0.02,-0.07,17,3416,421,1,1,1,1,1600110,0.648,1424066,0.576,1507,0.006,4877,0.002,736,0.003,4141,0.002,475,0.001,-0.0024,-0.0008,-0.001,-0.0007,-0.0005,54515,0.226,40226,0.167,1545163,0.745,1383726,0.667,129496,0.598,115130,0.531,1415667,0.763,1268596,0.683,340726,0.931,304043,0.831,0.1,0.15,0.15,3.3,0.06,0.5,0,0.07,0.794,0.559
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,6,2003554,0.785,0.069,0.006,2,39255,0.02,0.008,6647,332,111,5.5,-0.48,0.52,0.009,12680,633,73,3.6,538636,26884,5776,288,0,12,SustainedHotspot,,High,High,0.104,60998,3044,1,1,-0.076,-0.27,0,0.01,0.18,83382,4162,1,0.99,431,6.6,0.62,0.11,0.92,0.29,-0.46,0.01,-0.03,-0.03,-0.07,18,6483,610,1,1,1,1,1637428,0.817,1363957,0.681,1212,0.006,3813,0.002,501,0.003,3312,0.002,364,0.001,-0.0033,-0.0007,-0.0012,-0.0007,-0.0009,67685,0.341,43927,0.221,1569492,0.942,1319983,0.792,144477,0.854,118889,0.703,1425015,0.95,1201094,0.802,272964,0.95,231720,0.935,0.15,0.16,0.12,3,0.07,0.61,0,0.03,0.826,0.373
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.008,6418,125,143,2.8,-0.52,-0.51,0.009,13324,259,292,5.7,1104210,21440,13868,269,0,23,HighBurdenResolving,,High,High,0.019,309278,6005,0,0.99,-0.012,0.03,0,0.01,0.031,299951,5824,0,0.98,518,3.8,0.75,0.06,0.73,0.1,-0.35,0.01,-0.03,-0.01,-0.04,52,13662,1568,0.98,0.98,1,1,4146509,0.805,3636353,0.706,2903,0.007,10029,0.002,1615,0.004,8414,0.002,602,0.001,-0.0042,0.0026,0.0012,0.0027,0.0023,216804,0.504,174622,0.406,3927875,0.891,3461138,0.785,306175,0.821,268949,0.721,3621700,0.897,3192189,0.791,721218,0.929,651132,0.839,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.676,0.734
"Tarrant County, TX",48439,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,6,2102515,0.278,0.073,0.006,2,36456,0.017,0.007,5426,258,97,4.6,-0.5,0.1,0.007,10924,520,88,4.2,554348,26366,5507,262,0,13,SustainedHotspot,,High,High,0.12,24026,1143,1,0.97,-0.072,-0.37,0,0.01,0.191,38428,1828,1,0.96,375,9.2,0.91,0.13,0.94,0.25,-0.44,0,-0.07,-0.01,-0.12,28,4070,456,0.93,0.93,0.96,0.93,1337639,0.636,1165776,0.554,1026,0.005,3050,0.002,404,0.002,2646,0.002,275,0.001,0.0002,0.0001,0.0004,0.0001,0.0001,46367,0.216,33922,0.158,1291053,0.74,1131797,0.649,108522,0.573,91763,0.484,1182531,0.76,1040034,0.669,225126,0.921,204086,0.835,0.16,0.13,0.12,2.9,0.17,0.29,0,0.06,0.548,0.343
"Cumberland County, ME",23005,Medium metro,"Portland-South Portland, ME",Metropolitan,ME,1,295003,0.548,0.219,0.001,0,8073,0.027,0.006,5283,1791,10,3.4,3.01,1.5,0.001,1316,446,4,1.4,44123,14957,317,107,4,0,SustainedHotspot,Continuing,High,High,0.047,10409,3528,1,0.99,-0.01,-0.25,0,0.01,0.058,13816,4683,1,0.98,40,4.2,0.8,0.13,0.77,0.32,0.08,-0.01,-0.01,-0.03,-0.01,4,947,109,1,1,1,1,286181,0.95,255454,0.866,125,0.006,432,0.002,43,0.002,389,0.002,46,0.001,0.0007,-0.0003,-0.001,-0.0003,-0.0001,14432,0.697,13078,0.632,271704,0.95,242370,0.931,18129,0.939,16711,0.866,253575,0.95,225659,0.936,63449,0.95,56637,0.95,0.06,0.1,0.19,2.4,0.03,0.02,0,0.02,0.136,0.069
